Grandes Regiões / Unidades da Federação;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023(2)
Total;2.854,30;3.287,10;3.473,30;3.705,70;3.900,50;4.027,30;4.282,10;5.687,40;7.138,00;8.424,80;10.201,80;11.871,60;13.650,60;15.006,60;17.503,30;19.658,20;19.842,60;20.729,20;22.139,40;18.571,80;18.288,30;22.156,70;27.575,10;25.909,70
Norte;26,3;26,3;26,9;36,3;41,3;68,5;125;152,2;245,8;345,1;429,8;427,4;515,1;587,3;627,7;598,2;609,5;634,5;667,1;646,3;687;995,9;1.378,70;1.442,10
Acre;5,4;4,5;8,6;8,2;7,3;11,6;22,3;24,6;31,4;37,9;33;46,6;49;52,9;34,9;33,3;32,7;79,5;59,4;42,8;68,2;78,9;119,5;143,8
Amapá;5,7;7,8;6,3;3,8;2,8;3,6;4,9;5,2;11,7;10,2;11,3;6,8;10,1;12,6;26,7;6,9;5,4;5,7;6,7;6,7;8,6;12,6;33,4;21,2
Amazonas;7,4;5,3;1,8;11,4;24,4;35,3;73,1;62,1;91,2;104,6;128,9;118,7;129,4;176;204,5;185,9;181,6;169,5;228,3;203,2;206,9;319,9;451;437,2
Pará;6,8;6,5;7,5;8,6;4;4,6;7,4;29,4;73,6;122,7;173;153,3;211,8;187,7;210,8;191,7;187,7;191,1;199,6;209,4;222,3;343,6;469,9;485,2
Rondônia;0,3;0,6;0,7;1,3;1,7;2,1;1,8;1,7;2,9;37,9;52,1;63,3;77,7;76,2;74,6;103,1;105;99,3;95,7;101,8;94,5;135,3;163,5;175,3
Roraima;0,8;0,3;0,3;0,5;0,1;0,4;0,5;2,9;6,1;8,4;4,9;4,8;10,1;16,8;20,6;16,1;22,9;31,2;22,7;22,2;18,4;21;42,1;61,6
Tocantins;0,01;1,3;1,8;2,6;1,1;10,8;15;26,3;28,8;23,4;26,6;33,9;26,9;65,1;55,7;61,3;74,2;58,3;54,7;60,2;68,2;84,6;99,4;117,8
Nordeste;139,2;216,6;228,2;281,3;311,3;393,9;441,7;515,2;732,5;938,8;1.296,60;1.245,10;1.538,90;1.533,00;2.046,40;1.780,30;1.976,70;2.132,40;2.103,80;2.201,70;1.952,40;2.300,50;2.930,70;3.139,20
Alagoas;3,4;6,7;4,1;6,9;10,5;13,2;10,1;9;13,3;21,6;30,4;21,5;37,4;38,6;55,2;32,1;30,5;30,1;32,3;28,2;28,2;39,3;59,1;69,5
Bahia;72,4;92,2;115,7;138,6;157,8;205,1;207;263;292,8;305,4;487,2;433,5;614,2;538,1;739;519,4;556;641,8;669,3;755,7;640,2;718,1;868;1.084,60
Ceará;8,9;15,7;26,5;38,7;53,4;74,4;97,9;104,1;185,2;192,4;266,3;219,8;266;260,4;334,8;273;320,8;356,5;416,3;431,1;383,2;523,5;704;682,9
Maranhão;2,7;23,9;8,1;20,4;6,7;10,2;13;13,4;18,9;26,5;75,1;33,2;32,7;75,6;82,6;128,4;146,2;155;176,2;140,1;135,9;125,5;174,4;171,4
Paraíba;6,7;6,9;7;8,6;9;9,8;14,7;18;24,3;98,3;122;135,7;174;165,9;198,3;217,4;239,6;269;249,7;252,3;254;295,9;336,5;304,9
Pernambuco;37,4;58,5;48,1;51,9;51,7;56,3;72,7;80,5;142,6;147,8;146,2;236,6;192;160,1;284,2;261,3;260,2;290,1;269,3;281,6;221,8;285,3;397,1;350,2
Piauí;0,4;0,6;0,8;2,1;2,5;2;3,7;2;8,6;36,1;45,9;52;55,3;88,4;104,7;73,2;110,8;81,6;88,4;97,2;85,6;84,6;126,4;176,7
Rio Grande do Norte;4,9;6,9;12,6;6,8;11,3;15,1;12;13,3;29,5;87,2;104,4;89,9;85,3;152,7;144,2;165,4;175,3;222,6;120,3;123,6;115,5;131,7;172,9;190,7
Sergipe;2,6;5,1;5,3;7,3;8,5;7,9;10,7;11,9;17,2;23,6;19,1;22,9;82;53,1;103,4;110,1;137,3;85,5;82;92;88,1;96,5;92,3;108,3
Sudeste;2.377,40;2.703,80;2.851,40;3.014,90;3.066,10;3.006,80;3.141,80;4.289,80;5.225,40;5.871,10;6.936,80;8.487,90;9.514,40;10.590,90;11.885,30;14.330,00;13.940,00;14.504,50;15.781,60;12.314,00;11.976,30;14.801,20;18.426,60;15.795,70
Espírito Santo;16,9;9;7,5;7,1;7,5;11,6;19,9;24,6;27,4;69,1;85,2;116,2;144,8;143,2;51,2;140,7;144,1;180,2;205,1;219,9;220,9;224,9;345,1;438,7
Minas Gerais;65,3;84,3;55,6;49,6;106,7;156,7;218,4;312,8;403,8;443,8;557;662,9;733;701,1;807,4;813,7;867,7;1.135,00;807,9;767,6;638,3;782,2;1.269,80;1.325,30
