NO_REGIAO;TP_DIMENSAO;TP_CATEGORIA_ADMINISTRATIVA;QT_VG_TOTAL;QT_VG_NOVA;QT_ING;QT_CONC;QT_INSCRITO_TOTAL
Nordeste;3;1;150;150;0;0;416
Centro-Oeste;3;1;548;500;0;0;980
Sudeste;3;2;3930;3930;0;0;12946
Sudeste;3;4;8977;2458;0;0;1201
Sudeste;3;4;10075;2847;0;0;2779
Sudeste;3;4;20;14;0;0;30
Sudeste;3;4;54;46;0;0;60
Sudeste;3;4;448;400;0;0;403
Sudeste;3;4;1106;1000;0;0;770
Sul;3;4;2016;2009;0;0;4717
Sul;3;4;2039;2012;0;0;3036
Sul;3;4;2014;2003;0;0;621
Nordeste;3;4;17681;8850;0;0;19
Nordeste;3;4;2;2;0;0;10
Sudeste;3;4;1529;1500;0;0;364
Sudeste;3;4;1060;1000;0;0;420
Sudeste;3;4;800;800;0;0;126
Sul;3;4;505;500;0;0;8
Sul;3;4;505;500;0;0;44
Sudeste;3;4;331;284;0;0;350
Sudeste;3;4;612;600;0;0;125
Sudeste;3;4;627;600;0;0;203
Sudeste;3;4;95;70;0;0;181
Centro-Oeste;3;4;250;250;0;0;158
Centro-Oeste;3;4;301;300;0;0;66
Centro-Oeste;3;4;150;150;0;0;7
Nordeste;3;4;12;7;0;0;20
Sul;3;4;212;200;0;0;31
Sul;3;4;229;200;0;0;89
Sul;3;4;115;87;0;0;95
Sul;3;4;990;737;0;0;811
Sudeste;3;5;513;500;0;0;199
Sudeste;3;5;5112;5001;0;0;760
Sudeste;3;5;308;222;0;0;726
Sudeste;3;5;8868;8850;0;0;12
Sul;3;5;326;0;0;0;0
Sudeste;3;5;225;210;0;0;64
Sudeste;3;5;380;300;0;0;231
Sul;3;5;4;2;0;0;20
Sul;3;5;14;12;0;0;30
Sul;3;5;1854;770;0;0;51
Sul;3;5;598;465;0;0;598
Sul;3;5;800;800;0;0;953
Sudeste;3;5;1560;1560;0;0;540
Sudeste;3;5;336;300;0;0;116
Sudeste;3;5;342;300;0;0;148
Sudeste;3;5;455;240;0;0;288
Centro-Oeste;3;5;400;400;0;0;16
Centro-Oeste;3;5;500;300;0;0;420
Sudeste;3;5;54;50;0;0;22
Sudeste;3;4;33;33;0;0;33
Sudeste;3;4;142;142;0;0;142
Sudeste;3;4;38;38;0;0;38
Sudeste;3;4;5;3;0;0;20
Sudeste;3;4;35;27;0;0;40
Sudeste;3;4;1;1;0;0;10
Nordeste;3;4;201;200;0;0;11
Nordeste;3;4;207;200;0;0;88
Sul;3;4;52;44;0;0;60
Sul;3;4;11;10;0;0;30
Sudeste;3;4;2300;2300;0;0;124
Sudeste;3;4;3002;3000;0;0;126
Sudeste;3;4;1050;1050;0;0;25
Sudeste;3;4;2002;2000;0;0;36
Sudeste;3;4;502;500;0;0;57
Sudeste;3;4;83;68;0;0;100
Sudeste;3;4;450;450;0;0;450
Sudeste;3;4;900;450;0;0;900
Centro-Oeste;3;4;3000;3000;0;0;171
Centro-Oeste;3;4;3001;3000;0;0;285
Centro-Oeste;3;4;2650;2650;0;0;126
Centro-Oeste;3;4;600;500;0;0;262
Centro-Oeste;3;4;600;500;0;0;202
Nordeste;3;4;3988;1375;0;0;64
Sudeste;3;4;1852;530;0;0;526
Sudeste;3;4;1764;532;0;0;1196
